matchId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6723437363,8,1,17,1,1,-1,1,0,1,29,-67,-13,6,1
KR_6744247067,-1,2,-7,-1,-1,1,1,0,1,-8,1,17,6,1
KR_6751290476,8,6,-18,1,-1,-1,-1,0,1,5,-6,-4,1,1
KR_6735827587,0,3,48,1,1,-1,0,0,2,4,0,21,3,1
KR_6744292657,-4,-1,-2,-1,1,1,1,0,0,-6,30,3,2,1
KR_6742589262,-5,-3,16,-1,0,0,-1,1,1,10,-65,0,0,1
KR_6745879159,-8,0,87,1,-1,1,1,0,2,-1,-22,27,6,1
KR_6742816180,23,16,73,1,1,1,1,0,3,2,1,13,5,1
KR_6744888615,-7,-2,52,1,-1,1,1,0,1,8,1,0,4,1
KR_6744251802,-8,1,14,-1,0,0,1,1,1,0,0,0,0,1
KR_6746075987,-34,-16,-19,-1,0,0,-1,0,-5,0,-12,0,0,1
KR_6749631723,25,8,-4,-1,0,0,-1,0,2,5,-38,0,0,1
KR_6745218774,7,2,-50,1,1,1,-1,0,-3,-4,34,42,3,1
KR_6735210462,-9,-1,-32,1,-1,1,1,0,0,-10,23,24,2,1
KR_6729891097,-10,3,-6,1,-1,1,1,0,-1,-2,230,-2,5,1
KR_6744872304,30,21,56,1,1,-1,1,0,6,8,-6,6,4,1
KR_6747455564,5,2,-13,-1,0,1,-1,0,-2,-1,40,14,0,1
KR_6751018065,9,5,-18,1,1,1,1,0,2,-3,-29,26,6,1
KR_6751246458,8,-3,-12,1,0,0,1,0,0,0,0,0,0,1
KR_6748015543,17,13,182,-1,1,1,1,0,12,11,-20,19,1,1
KR_6742543107,9,7,27,1,0,1,1,0,2,3,9,0,0,1
KR_6751120655,-21,-10,56,-1,1,-1,0,0,0,1,-46,28,4,1
KR_6750964135,-4,-1,34,1,1,1,0,0,0,6,-52,-24,4,1
KR_6729809969,8,7,-47,1,1,1,1,0,2,1,30,28,5,1
KR_6747401302,5,1,-4,-1,-1,0,0,0,0,-1,7,24,3,1
KR_6744392312,-1,-3,-25,-1,0,0,1,0,1,20,-41,0,0,1
KR_6750197150,1,-2,34,1,1,1,1,0,-1,-6,6,-21,1,1
KR_6745456107,5,3,61,1,1,-1,1,0,3,-2,18,-4,3,1
KR_6750465800,16,19,33,1,1,-1,-1,0,5,2,7,-2,5,1
KR_6746143743,2,11,40,1,1,-1,1,0,4,-3,8,3,6,1
KR_6749408616,3,1,-44,1,1,-1,1,0,0,3,169,-12,3,1
KR_6739301573,18,11,-12,1,-1,1,1,0,3,3,48,55,2,1
KR_6749838509,-11,-4,33,1,-1,1,-1,0,-2,1,-3,4,3,1
KR_6748415805,5,0,-27,-1,1,-1,-1,0,-1,-9,12,-8,5,1
KR_6742084806,9,11,-5,-1,-1,1,1,0,5,5,19,2,2,1
KR_6748877439,28,19,-1,1,1,1,1,0,5,3,5,7,5,1
KR_6744081396,-2,1,40,-1,1,1,1,0,1,9,-13,27,1,1
KR_6747832845,21,14,40,1,1,1,1,0,6,-2,13,57,3,1
KR_6737266645,2,-1,2,-1,0,0,-1,0,1,0,0,0,0,1
KR_6747903851,2,1,-12,-1,1,1,0,0,0,-1,-26,-8,1,1
KR_6749865708,6,3,18,-1,-1,1,-1,0,-2,1,7,-18,6,1
KR_6742383597,22,15,91,-1,1,1,1,0,4,4,-19,16,4,1
KR_6749457740,10,8,51,-1,1,-1,1,0,4,3,-5,-12,1,1
KR_6751548622,8,4,-53,-1,-1,1,1,0,1,2,-2,-6,1,1
KR_6747259201,3,0,-82,-1,-1,-1,-1,0,-3,-2,43,-20,6,1
KR_6732942519,17,12,37,-1,1,1,-1,0,6,4,2,33,4,1
KR_6746755550,14,5,-14,1,1,-1,1,0,0,-3,2,-37,5,1
KR_6748216408,-10,0,-42,1,-1,-1,0,0,-1,-3,1,7,5,1
KR_6725337664,4,3,-7,1,-1,1,0,0,2,3,21,8,5,1
KR_6750386938,-14,-1,96,1,-1,1,1,0,3,1,0,-11,2,1
KR_6749587458,16,12,27,1,1,1,0,0,2,7,-10,-13,4,1
KR_6748691520,10,15,77,1,1,-1,-1,0,7,0,16,21,4,1
KR_6751455068,3,4,-3,-1,-1,1,1,0,-1,9,-33,-53,6,1
KR_6751590612,22,13,26,1,0,0,1,1,4,0,0,0,0,1
KR_6749576296,6,3,19,1,0,-1,1,0,1,4,23,1,0,1
KR_6726668157,13,14,-14,1,1,1,-1,0,4,3,-3,-5,3,1
KR_6748074535,6,1,-40,-1,1,1,-1,0,0,1,4,23,3,1
KR_6746600292,27,21,28,1,1,1,1,0,8,-1,10,48,5,1
KR_6735650698,27,21,103,1,1,1,1,0,9,-2,15,-8,3,1
KR_6750527805,-8,-4,27,1,0,0,1,0,1,1,-67,0,0,1
KR_6736161812,15,14,133,-1,1,1,1,0,7,2,-13,30,5,1
KR_6725278689,8,7,45,-1,-1,1,0,0,2,1,1,25,6,1
KR_6747730078,5,1,73,1,1,-1,1,0,2,7,-31,-11,1,1
KR_6747352257,5,2,29,1,-1,1,1,0,0,-6,12,8,6,1
KR_6751761978,-3,1,66,-1,1,-1,1,0,2,-4,35,1,3,1
KR_6746736098,10,8,8,-1,1,1,1,0,1,-5,18,-15,3,1
KR_6738113474,10,13,70,-1,-1,-1,1,0,7,-7,34,12,6,1
KR_6749342524,-6,-4,-27,-1,0,0,-1,-1,-2,0,0,0,0,1
KR_6728862627,15,11,66,1,1,1,1,0,5,-1,6,36,3,1
KR_6749567319,14,14,65,-1,1,1,1,0,4,2,-3,3,2,1
KR_6740421829,-2,0,-46,-1,-1,0,1,0,1,-1,15,32,3,1
KR_6749622325,-2,-4,9,-1,0,0,-1,1,-1,0,-131,0,0,1
KR_6716272089,13,10,-22,-1,1,-1,-1,0,1,3,-15,-6,2,1
KR_6722033598,1,-2,4,-1,1,-1,1,0,0,8,-7,16,5,1
KR_6726708312,19,11,60,1,1,-1,-1,0,8,8,7,63,6,1
KR_6747388150,9,1,-1,1,-1,1,-1,0,1,-5,-2,-19,6,1
KR_6750368835,1,-3,18,-1,1,-1,-1,0,1,-6,12,27,1,1
KR_6727429495,13,10,-17,-1,0,1,1,0,2,3,40,22,0,1
KR_6748489321,3,5,14,1,1,-1,1,0,3,-1,1,-1,6,1
KR_6742256398,-6,-7,-27,-1,1,-1,-1,0,-2,0,-25,-7,3,1
KR_6737514660,2,2,13,1,-1,1,1,0,4,-22,61,7,6,1
KR_6750734608,5,3,99,1,1,1,1,0,4,11,-4,51,5,1
KR_6751258365,12,9,56,1,-1,1,1,0,3,-3,6,-4,2,1
KR_6751313208,14,-1,-28,-1,-1,-1,-1,0,1,0,9,2,4,1
KR_6720442743,7,5,-36,1,-1,1,1,0,0,16,-40,-13,5,1
KR_6748655003,14,5,-14,1,1,-1,-1,0,2,8,-27,3,5,1
KR_6748057533,-7,0,-5,-1,0,0,1,0,2,0,-3,0,0,1
KR_6742596191,17,10,71,-1,1,1,1,0,4,7,34,8,6,1
KR_6743961738,10,8,54,1,1,1,1,0,6,0,1,23,6,1
KR_6735734392,1,0,-27,1,-1,1,-1,0,0,-6,-4,-9,3,1
KR_6750697781,15,9,28,1,0,1,1,0,2,5,-31,0,0,1
KR_6746071674,2,-6,-63,-1,1,-1,-1,0,-2,-5,-7,20,5,1
KR_6750281209,9,9,76,1,1,-1,1,0,3,-3,2,-4,4,1
