matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6717673167,420,2,15,14,4,-2,0,2,5,5,0,-4,0,4,1,4,3,4,4,0,0,8,-72,-5,6,1,3,0,-1,1,-1,1,1,3,1
KR_6689721772,440,1,16,2,5,1,5,4,-3,1,4,3,4,1,2,6,4,2,2,0,0,9,19,0,8,8,2,0,1,1,0,1,1,4,1
KR_6621594669,420,3,16,-12,13,6,6,0,7,8,1,0,2,2,0,3,3,0,3,3,0,6,-17,3,5,8,-1,0,0,-1,-1,-1,1,2,1
KR_6694660108,420,0,24,8,2,2,2,0,1,6,5,2,2,0,-4,0,4,1,1,0,0,-1,-4,3,2,5,1,0,0,-1,1,0,-1,4,1
KR_6649427277,420,0,24,-13,-3,2,4,2,0,2,2,2,5,3,-3,0,3,-4,0,4,0,-2,5,-7,8,1,-2,0,-1,1,-1,1,1,2,1
KR_6761862022,440,2,-11,44,0,7,8,1,-1,1,2,-1,2,3,-6,3,9,1,2,1,-1,1,28,4,2,6,1,0,-1,1,0,-1,-1,4,1
KR_6688126119,420,-1,-20,11,-6,-2,2,4,2,2,0,0,5,5,-5,2,7,-1,0,1,0,-10,-19,0,8,8,-3,0,0,1,1,-1,-1,5,1
KR_6759316792,420,2,-10,13,0,2,2,0,0,3,3,1,4,3,-2,0,2,-1,2,3,0,0,-9,-4,9,5,3,0,0,-1,-1,0,-1,2,1
KR_6755679925,440,4,61,68,7,-1,0,1,7,8,1,0,1,1,0,0,0,1,5,4,0,2,-11,2,3,5,7,0,0,1,1,1,1,1,1
KR_6636264105,420,-1,30,18,1,3,3,0,-2,0,2,1,1,0,2,4,2,-3,0,3,0,-3,-6,-3,5,2,0,0,0,-1,1,0,1,6,1
