matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6766654157,420,-2,37,-19,-2,0,2,2,0,3,3,-2,4,2,0,6,6,0,1,1,0,-8,-5,-3,-3,6,4,0,1,0,1,1,1,0,-1
KR_6720797267,420,-2,-39,37,-11,-5,5,0,-3,5,2,2,0,2,-4,6,2,-1,2,1,0,-18,-12,1,-5,4,-5,0,-1,-1,-1,-1,-1,4,-1
KR_6693605106,420,-3,-3,12,-10,-2,3,1,-8,9,1,0,2,2,-1,1,0,1,1,2,0,-5,-4,-3,-3,6,2,0,0,0,-1,-1,-1,0,-1
KR_6770735340,420,-4,-42,-47,-10,0,2,2,-5,6,1,-2,2,0,-2,2,0,-1,2,1,0,-13,306,-3,-3,6,-2,0,-2,-1,-1,-1,-1,6,-1
KR_6771933625,420,2,22,0,-5,-3,4,1,2,1,3,0,2,2,0,3,3,-4,4,0,-1,-4,32,-6,-3,9,-2,0,0,-1,-1,1,-1,3,-1
KR_6762293722,420,0,-24,8,-1,2,2,4,-7,8,1,0,3,3,1,2,3,3,1,4,0,-7,125,-8,-1,9,7,0,0,-1,-1,0,1,2,-1
KR_6688535614,420,-4,-17,-51,-10,-1,2,1,-1,3,2,-5,6,1,-1,3,2,-2,4,2,0,-7,-6,-3,-4,7,0,0,0,0,0,0,-1,0,-1
KR_6653303112,420,-1,-46,12,0,3,0,3,1,1,2,-1,1,0,-3,6,3,0,0,0,0,0,-142,2,-5,3,-4,0,0,-1,1,1,1,5,-1
KR_6706207434,420,-1,5,4,-2,1,0,1,2,4,6,-3,4,1,0,0,0,-2,3,1,0,-9,113,2,-4,2,0,0,0,-1,-1,-1,-1,2,-1
KR_6602343859,420,-1,-17,-14,-7,0,3,3,-4,4,0,-2,3,1,-6,7,1,5,0,5,0,-9,-1,-6,-4,10,-4,0,0,-1,1,0,-1,6,-1
KR_6768670974,420,0,2,7,-2,-1,2,1,-2,2,0,-3,4,1,5,0,5,-1,1,0,0,1,4,0,-6,6,-6,0,-1,-1,-1,-1,1,6,-1
KR_6594924760,420,2,112,4,0,1,3,4,2,1,3,-2,3,1,-1,3,2,0,2,2,0,-1,-7,-2,-2,4,5,0,0,1,-1,1,-1,1,-1
KR_6395696053,420,-2,12,-10,-1,1,0,1,-9,9,0,1,0,1,4,1,5,2,0,2,0,4,2,1,-5,4,0,0,0,-1,-1,0,-1,3,-1
KR_6768404051,420,0,14,13,-6,-1,1,0,-2,2,0,-1,1,0,-4,5,1,2,0,2,0,-10,3,0,-5,5,-3,0,-1,1,-1,-1,-1,6,-1
KR_6763022500,420,-3,-53,-18,-10,-3,5,2,2,0,2,0,2,2,-6,7,1,-3,3,0,-4,-14,-7,-4,-2,6,-1,0,-2,-1,1,-1,-1,3,-1
KR_6723559629,420,-2,22,12,-10,0,2,2,0,5,5,-3,3,0,-5,6,1,-2,2,0,0,-5,35,1,-4,3,1,0,0,1,-1,0,-1,6,-1
KR_6657401876,420,-2,-10,9,4,0,2,2,-1,2,1,2,1,3,1,5,6,2,0,2,0,0,29,7,-8,1,-3,0,0,1,1,0,-1,6,-1
KR_6722744156,420,-4,-6,-58,-8,-1,2,1,-1,4,3,-11,12,1,5,2,7,0,1,1,-3,-14,-5,-3,-2,5,-1,0,0,-1,-1,0,-1,3,-1
KR_6623442657,440,2,-3,33,3,5,1,6,-1,4,3,-1,1,0,-3,5,2,3,2,5,2,0,-203,-1,-3,4,2,0,-1,-1,-1,-1,1,3,-1
KR_6755321183,420,-8,-44,4,-9,-3,3,0,1,4,5,1,1,2,-8,12,4,0,0,0,0,-8,22,5,-9,4,-9,0,-3,-1,-1,-1,-1,1,-1
KR_6771908755,420,-1,37,-12,-7,0,2,2,-2,5,3,-4,5,1,-1,1,0,0,0,0,0,-2,-6,-4,-2,6,-5,0,-1,-1,-1,-1,-1,6,-1
KR_6563219900,420,-2,-41,29,-1,-5,5,0,4,2,6,-2,2,0,-3,7,4,5,0,5,0,3,33,0,-6,6,-4,0,0,-1,0,0,1,2,-1
KR_6743117788,440,-2,-73,-8,-4,-2,3,1,1,3,4,-1,3,2,0,5,5,-2,2,0,0,-5,-10,-5,-4,9,3,0,-1,-1,-1,-1,-1,1,-1
KR_6658097361,420,-2,-28,14,-4,0,3,3,2,3,5,1,2,3,-8,8,0,1,1,2,0,0,237,0,-5,5,-18,0,0,1,1,0,-1,5,-1
KR_6737249056,420,-9,-94,-43,-15,-3,3,0,-4,5,1,2,0,2,-10,10,0,0,0,0,0,-12,18,-4,-5,9,1,0,-3,-1,1,-1,-1,6,-1
KR_6700720657,420,0,-29,16,-1,-2,5,3,2,1,3,0,2,2,-1,2,1,0,0,0,0,-1,112,-3,-3,6,4,0,-2,1,-1,-1,-1,1,-1
KR_6690117003,420,-6,-92,-42,-13,-4,5,1,1,2,3,-3,3,0,-5,8,3,-2,2,0,0,-15,-2,-5,-4,9,-3,0,-2,-1,1,-1,-1,2,-1
KR_6759913509,420,2,9,-2,0,-1,2,1,0,2,2,-5,6,1,2,1,3,4,1,5,0,7,64,-5,-2,7,-14,0,1,-1,0,1,-1,3,-1
KR_6740670486,420,2,-33,15,2,-3,7,4,-1,1,0,2,0,2,1,1,2,3,0,3,0,5,3,1,-5,4,0,0,0,1,1,0,-1,2,-1
KR_6756772756,440,-4,-11,-28,-3,-1,1,0,1,2,3,0,1,1,-1,1,0,-2,3,1,0,-1,-215,-1,-3,4,2,0,-2,-1,-1,-1,-1,5,-1
